time,PC1,PC2,PC3,PC4,PC5,PC6
0.0,0.10559108902291986,-0.08030913543380294,-0.25130295108369477,0.04896643718160174,-0.05122038975391269,0.006093465729800156
0.002,0.06115610367044473,-0.06159390333586388,-0.19784998615645144,0.030992131838206732,-0.013151573548207117,0.012182220994002327
0.004,0.05691357093222964,-0.06745250608565652,-0.2006952136676061,0.02373088571220764,-0.03172407703167746,0.002524432791647671
0.006,0.04690917243677144,-0.06298613950998685,-0.1766584121803548,0.010030778655027696,-0.030117992394676746,-0.010140193280921018
0.008,0.015072702499596009,-0.0564952773316318,-0.14080753453206407,-0.005335904185687379,-0.0038733952518858195,-0.014204138580178473
0.01,0.03369078521802397,-0.06205711191554156,-0.15732293858994703,-0.00021636214026245137,-0.035616627051166465,-0.02698506616092318
0.012,0.03263680098612197,-0.0603603700888748,-0.1349831748511511,-0.01315537204492346,-0.035506640005315955,-0.03509695038801549
0.014,0.027098793848438277,-0.05357255632911105,-0.12428719870356457,-0.010984371757362658,0.00043666818346863945,-0.024368381994178887
0.016,0.005215343577606857,-0.062420124612820115,-0.15786494894204653,0.0053043996161620515,-0.004604596555522804,-0.032811666279281775
0.018,-0.0029041618192795107,-0.0690705607025018,-0.18434415137918844,0.01467384014206352,-0.021255031960371998,-0.05014517715434598
0.02,-0.0044935982610743875,-0.07144077558445454,-0.1769423906186652,0.01101721613712346,-0.0007895639945626637,-0.04536973800242865
0.022,-0.006495503422068368,-0.06713827615507385,-0.1889422677026458,0.017389789559748788,0.024152579723501894,-0.021953252598750264
0.024,-0.0025092344888815016,-0.07249413097153877,-0.18485206046373082,0.007442262609831318,-0.04060221302904623,-0.04248770457499213
0.026,-0.013275571093005895,-0.07912449454470355,-0.21144957242736512,0.021904130900820693,-0.022071332629884814,-0.02513248728584542
0.028,0.013486189158421353,-0.08775513733958733,-0.23896277800379698,0.028536585974337527,-0.03565433066842336,-0.03265578034281433
0.03,0.004677956608208903,-0.08590615276462071,-0.22472514087468737,0.019269587961583883,-0.03609481582893199,-0.04085800799625567
0.032,-0.01674564173500685,-0.08189404478991322,-0.19916144397637706,0.0032466191784560517,-0.04865120784656177,-0.0726299070145765
0.034,-0.0008419919476757608,-0.08434069163871862,-0.19792107383618773,0.0042317581395487575,-0.05036797968066915,-0.06745807228431912
0.036,0.016205163892220174,-0.0721538032310048,-0.1836156320551999,0.007224351068223713,-0.015657826056565294,-0.045314239616495576
0.038,-0.016422972470152192,-0.06807700845230566,-0.17119362807555213,0.004543459818599089,0.03248053393564502,-0.0274602470981099
0.04,-0.003817872011678889,-0.08806981605124656,-0.18262717005556856,0.005944167323213247,0.014694255749646489,-0.032181751141562805
